,ema_230421_090640T09.06.00.00.wav,ema_230421_090745T09.07.00.00.wav,firstreef_230420_201800T01.08.00.00.wav,firstreef_230420_201500T01.50.00.00.wav,firstreef_230420_201200T01.20.00.00.wav,firstreef_230420_200900T00.09.00.00.wav,firstreef_230420_200600T00.06.00.00.wav,firstreef_230420_200300T00.30.00.00.wav,firstreef_230420_200000T00.00.00.00.wav,ema_230421_085905T08.59.00.00.wav,ema_230421_090010T09.00.00.00.wav,ema_230421_090115T09.01.00.00.wav,ema_230421_090220T09.02.00.00.wav,ema_230421_090325T09.03.00.00.wav,ema_230421_090430T09.04.00.00.wav,ema_230421_090535T09.05.00.00.wav,firstreef_230420_195700T09.57.00.00.wav,firstreef_230420_195400T09.54.00.00.wav,firstreef_230420_195100T09.51.00.00.wav,narega1_230424_122930T22.09.00.00.wav,narega1_230424_122825T22.08.00.00.wav,narega1_230424_122720T22.07.00.00.wav,narega1_230424_122615T22.06.00.00.wav,narega1_230424_122510T22.50.00.00.wav,narega1_230424_122405T22.40.00.00.wav,narega1_230424_122300T22.30.00.00.wav,narega1_230424_122155T22.10.00.00.wav,narega1_230424_122050T22.00.00.00.wav,narega1_230424_121945T21.09.00.00.wav,tuare_230420_234200T03.42.00.00.wav,tuare_230420_233900T03.39.00.00.wav,tuare_230420_233600T03.36.00.00.wav,tuare_230420_233300T03.33.00.00.wav,tuare_230420_233000T03.30.00.00.wav,tuare_230420_232700T03.27.00.00.wav,tuare_230420_232400T03.24.00.00.wav,tuare_230420_232100T03.21.00.00.wav,tuare_230420_231800T03.18.00.00.wav,tuare_230420_231500T03.15.00.00.wav,ema_230421_085800T08.58.00.00.wav
24,0.0,0.0,0.026698256,0.025412813,0.029646251,0.041080862,0.027799882,0.034048367,0.027435007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022077713,0.019831683,0.042938918,0.00057560107,0.0026914328,0.0,0.0,0.0047529493,0.001412135,0.007827425,0.0024149937,0.0,0.0012927252,0.01600389,0.004547438,0.002788321,0.0068330793,0.0022558006,0.0038431536,0.0034442798,0.003047824,5.6406665e-05,0.0010271447,0.001396558
25,0.0,0.0,0.05274687,0.037784625,0.049157858,0.07000867,0.046690997,0.047542054,0.06582048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03518952,0.05129026,0.052614525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013495124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0016880835,0.008548933,0.1288841,0.12568818,0.116246,0.09209724,0.09059065,0.10681408,0.102515705,0.007591362,0.0061131655,0.010105281,0.009256821,0.008143783,0.011877974,0.012151803,0.099470384,0.08373469,0.07662402,0.05175401,0.038136866,0.04648006,0.06838122,0.03215628,0.03400595,0.06484761,0.049904305,0.067630604,0.033097055,0.0006369833,0.000454048,0.0016702759,0.0015198223,0.0,0.0,4.228565e-05,0.0,0.0,0.0,0.0020793658
27,0.0,0.0,0.10728787,0.08307068,0.08886095,0.077780105,0.08155663,0.06393119,0.079200774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728569,0.054122325,0.061334893,0.0011392061,0.009211367,0.009417762,0.008040695,0.004430173,0.0037541823,0.009499103,0.0007524534,0.009067306,0.0011130696,0.14145176,0.105203375,0.080366686,0.046565052,0.03319171,0.008434964,0.04574911,0.016454505,0.018488413,0.021679468,0.0
28,0.0,0.0,0.07220918,0.04269729,0.07936245,0.12661141,0.094465226,0.10599359,0.11316504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077653565,0.11018869,0.120624505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114485025,0.068741776,0.036331818,0.025028478,0.025292542,0.02823932,0.022735365,0.012758863,0.0033059786,0.008359413,0.0
29,0.0031116353,0.0036540835,0.01563889,0.008055171,0.008879991,0.0030917462,0.0046726493,0.0029942554,0.002178843,0.008383308,0.010060293,0.0040374342,0.0021485647,0.003439618,0.010863895,0.0066900793,0.012157595,0.0035145504,0.0024217195,0.0066953083,0.0016654895,0.0061346656,0.0,0.0037172528,0.005257417,0.0028625787,0.003449961,0.0017282008,0.0076324027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005395927
30,0.3013653,0.29392424,0.27519256,0.26161656,0.30002525,0.2203844,0.23751801,0.21444462,0.19936994,0.3010428,0.29305074,0.31414056,0.25818455,0.23945633,0.27546707,0.35676914,0.26944333,0.1805943,0.15337789,0.19610828,0.1530066,0.14708894,0.15540543,0.15428199,0.16274141,0.16530257,0.1736835,0.15413049,0.14603327,0.18960565,0.21769327,0.19187912,0.25872016,0.27262682,0.2049966,0.23321201,0.22713445,0.15999968,0.18995194,0.3197972
31,0.23409487,0.25043628,0.03957098,0.036422826,0.054022532,0.07303208,0.08957981,0.0854085,0.084396444,0.25962728,0.26386723,0.2429844,0.21847205,0.27514872,0.2832727,0.24837609,0.086734645,0.10025183,0.11237043,0.31743866,0.2754949,0.3229272,0.2349218,0.31667304,0.29244155,0.30013213,0.34849814,0.29325992,0.2904957,0.04349383,0.044453695,0.08674974,0.0643798,0.071081065,0.07915588,0.0817306,0.111103185,0.05408919,0.086581476,0.18450588
32,0.035496347,0.03003931,0.5277549,0.5202547,0.4750433,0.39480457,0.39567617,0.4203399,0.41901413,0.04992394,0.029641535,0.0428492,0.034627058,0.00904325,0.026242714,0.045436557,0.43243262,0.31455794,0.3524525,0.021140896,0.014217128,0.007290305,0.019863395,0.013685417,0.022550594,0.020365695,0.017129973,0.022722261,0.013685497,0.065503344,0.023467878,0.019241035,0.026059024,0.023039522,0.005841067,0.0071451515,0.0014090134,0.00021696914,0.003575098,0.058441296
33,0.22689499,0.20469922,0.34910092,0.35765585,0.35995278,0.35369828,0.3535903,0.34199283,0.35920185,0.17985962,0.14332125,0.20415288,0.18043807,0.1574462,0.20306101,0.19203109,0.3280172,0.36769572,0.3367196,0.058284637,0.08462985,0.08655505,0.09472463,0.05726158,0.08099855,0.06866271,0.044543337,0.08819826,0.044625673,0.03734563,0.031407423,0.03729522,0.034538995,0.053077973,0.044896513,0.043544974,0.049126573,0.069777,0.07561226,0.18826674
